sent_id,id,tb,lemma,pos,case,number,person,possessor's number,possessor's person,polarity,tense,aspect,verb form,evidentiality,mood,voice,numeral type,pronominal type,is this an echo word or a reduplicative?
news_1344,12,v2.8,belir,verb,,singular number,third person,,,positive,past tense,perfect aspect,,first hand,,passive voice,,,
news_1344,13,v2.8,.,punctuation,,,,,,,,,,,,,,,
news_1344,1,v2.11,bu,determiner,,,,,,,,,,,,,,,
news_1344,2,v2.11,karar,noun,instrumental,singular number,third person,,,,,,,,,,,,
news_1344,3,v2.11,polis,noun,dative,singular number,third person,,,,,,,,,,,,
news_1344,4,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
news_1344,5,v2.11,savcılık,noun,dative,plural number,third person,,,,,,,,,,,,
news_1344,6,v2.11,bu,determiner,,,,,,,,,,,,,,,
news_1344,7,v2.11,yön,noun,locative,singular number,third person,,,,,,,,,,,,
news_1344,8,v2.11,yap,verb,,,,,,positive,present tense,,participle,,,passive voice,,,
news_1344,9,v2.11,şikâyet,noun,genitive,plural number,third person,,,,,,,,,,,,
news_1344,10,v2.11,de,particle,,,,,,,,,,,,,,,
news_1344,11,v2.11,azal,verb,nominative,singular number,third person,singular number,third person,positive,future tense,prospective aspect,participle,,,,,,
news_1344,12,v2.11,belir,verb,,singular number,third person,,,positive,past tense,perfect aspect,,first hand,,passive causative voice,,,
news_1344,13,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1085,1,v2.8,asla,adverb,,,,,,,,,,,,,,,
ins_1085,2,v2.8,yol,noun,accusative,plural number,third person,singular number,third person,,,,,,,,,,
ins_1085,3,v2.8,şaşır,verb,,plural number,third person,,,negative,present tense,habitual aspect,,,,,,,
ins_1085,4,v2.8,!,punctuation,,,,,,,,,,,,,,,
ins_1085,5,v2.8,her,determiner,,,,,,,,,,,,,,,
ins_1085,6,v2.8,akşam,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1085,7,v2.8,tarla,noun,ablative,plural number,third person,,,,,,,,,,,,
ins_1085,8,v2.8,kalk,verb,,,,,,positive,,,,,,,,,
ins_1085,9,v2.8,sürü,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_1085,10,v2.8,hâl,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
ins_1085,11,v2.8,göl,noun,dative,singular number,third person,,,,,,,,,,,,
ins_1085,12,v2.8,doğru,adposition,,,,,,,,,,,,,,,
ins_1085,13,v2.8,Uçar,verb,nominative,plural number,third person,,,,,,,,,,,,
ins_1085,14,v2.8,.,punctuation,,,,,,,,,,,,,,,
ins_1085,1,v2.11,asla,adverb,,,,,,,,,,,,,,,
ins_1085,2,v2.11,yol,noun,accusative,plural number,third person,singular number,third person,,,,,,,,,,
ins_1085,3,v2.11,şaşır,verb,,plural number,third person,,,negative,present tense,habitual aspect,,,,,,,
ins_1085,4,v2.11,!,punctuation,,,,,,,,,,,,,,,
ins_1085,5,v2.11,her,determiner,,,,,,,,,,,,,,,
ins_1085,6,v2.11,akşam,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1085,7,v2.11,tarla,noun,ablative,plural number,third person,,,,,,,,,,,,
ins_1085,8,v2.11,kalk,verb,,,,,,positive,,,,,,,,,
ins_1085,9,v2.11,sürü,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_1085,10,v2.11,hâl,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
ins_1085,11,v2.11,göl,noun,dative,singular number,third person,,,,,,,,,,,,
ins_1085,12,v2.11,doğru,adposition,,,,,,,,,,,,,,,
ins_1085,13,v2.11,uç,verb,nominative,plural number,third person,,,,,,,,,,,,
ins_1085,14,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1037,1,v2.8,hem,coordinating conjunction,,,,,,,,,,,,,,,
ins_1037,2,v2.8,bir,determiner,,,,,,,,,,,,,,,
ins_1037,3,v2.8,şey,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_1037,4,v2.8,sat,verb,dative,singular number,third person,,,positive,,,,,,,,,
ins_1037,5,v2.8,hem,coordinating conjunction,,,,,,,,,,,,,,,
ins_1037,6,v2.8,bir,determiner,,,,,,,,,,,,,,,
ins_1037,7,v2.8,şey,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_1037,8,v2.8,al,verb,,,,,,positive,,,,,,,,,
ins_1037,9,v2.8,gel,verb,dative,singular number,third person,,,positive,,,,,,,,,
ins_1037,10,v2.8,.,punctuation,,,,,,,,,,,,,,,
ins_1037,1,v2.11,hem,coordinating conjunction,,,,,,,,,,,,,,,
ins_1037,2,v2.11,bir,determiner,,,,,,,,,,,,,,,
ins_1037,3,v2.11,şey,noun,accusative,plural number,third person,,,,,,,,,,,,
ins_1037,4,v2.11,sat,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
ins_1037,5,v2.11,hem,coordinating conjunction,,,,,,,,,,,,,,,
ins_1037,6,v2.11,bir,determiner,,,,,,,,,,,,,,,
ins_1037,7,v2.11,şey,noun,accusative,plural number,third person,,,,,,,,,,,,
ins_1037,8,v2.11,al,verb,,,,,,positive,,,converb,,,,,,
ins_1037,9,v2.11,gel,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
ins_1037,10,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_1990,1,v2.8,biz,pronoun,genitive,plural number,first person,,,,,,,,,,,,
bio_1990,2,v2.8,Şefik,proper noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1990,3,v2.8,dert,adjective,nominative,singular number,third person,,,,,,,,,,,,
bio_1990,4,v2.8,dağıtım,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1990,5,v2.8,merkez,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
bio_1990,6,v2.8,sanki,adverb,,,,,,,,,,,,,,,
bio_1990,7,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1990,1,v2.11,biz,pronoun,genitive,plural number,first person,,,,,,,,,,,,
bio_1990,2,v2.11,Şefik,proper noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1990,3,v2.11,dert,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1990,4,v2.11,dağıtım,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1990,5,v2.11,merkez,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
bio_1990,6,v2.11,sanki,adverb,,,,,,,,,,,,,,,
bio_1990,7,v2.11,.,punctuation,,,,,,,,,,,,,,,
pop_1612,1,v2.8,soğan,noun,accusative,singular number,third person,,,,,,,,,,,,
pop_1612,2,v2.8,yemek,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1612,3,v2.8,doğra,verb,,plural number,second person,,,positive,,,,,imperative,,,,
pop_1612,4,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_1612,1,v2.11,soğan,noun,accusative,singular number,third person,,,,,,,,,,,,
pop_1612,2,v2.11,yemeklik,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1612,3,v2.11,doğra,verb,,plural number,second person,,,positive,,,,,imperative,,,,
pop_1612,4,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1076,1,v2.8,etkin,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_1076,2,v2.8,söz,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,3,v2.8,konu,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ins_1076,4,v2.8,ol,noun,,,,,,,,,,,,,,,
ins_1076,5,v2.8,ilk,adverb,,,,,,,,,,,,,,,
ins_1076,6,v2.8,akıl,noun,dative,singular number,third person,,,,,,,,,,,,
ins_1076,7,v2.8,gel,verb,,,,,,positive,present tense,,participle,,,,,,
ins_1076,8,v2.8,kriter,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,9,v2.8,",",punctuation,,,,,,,,,,,,,,,
ins_1076,10,v2.8,marka,noun,genitive,singular number,third person,,,,,,,,,,,,
ins_1076,11,v2.8,/kurum,noun,genitive,singular number,third person,,,,,,,,,,,,
ins_1076,12,v2.8,iletişim,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,13,v2.8,strateji,noun,instrumental,singular number,third person,singular number,third person,,,,,,,,,,
ins_1076,14-15,v2.8,,,,,,,,,,,,,,,,,
ins_1076,14,v2.8,tutarlı,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,15,v2.8,i,auxiliary verb,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,16,v2.8,.,punctuation,,,,,,,,,,,,,,,
ins_1076,1,v2.11,etkinlik,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_1076,2,v2.11,söz,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,3,v2.11,konu,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ins_1076,4,v2.11,ol,verb,locative,singular number,third person,singular number,third person,positive,past tense,perfect aspect,participle,,,,,,
ins_1076,5,v2.11,ilk,adjective,,,,,,,,,,,,,,,
ins_1076,6,v2.11,akıl,noun,dative,singular number,third person,,,,,,,,,,,,
ins_1076,7,v2.11,gel,verb,,,,,,positive,present tense,,participle,,,,,,
ins_1076,8,v2.11,kriter,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,9,v2.11,",",punctuation,,,,,,,,,,,,,,,
ins_1076,10,v2.11,marka,noun,genitive,singular number,third person,,,,,,,,,,,,
ins_1076,11,v2.11,/kurum,noun,genitive,singular number,third person,,,,,,,,,,,,
ins_1076,12,v2.11,iletişim,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,13,v2.11,strateji,noun,instrumental,singular number,third person,singular number,third person,,,,,,,,,,
ins_1076,14-15,v2.11,,,,,,,,,,,,,,,,,
ins_1076,14,v2.11,tutarlılık,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1076,15,v2.11,i,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,generalized modality,,,,
ins_1076,16,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_1762,1,v2.8,Mahmut,proper noun,genitive,singular number,third person,,,,,,,,,,,,
bio_1762,2,v2.8,düzen,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
bio_1762,3,v2.8,boz,verb,,singular number,third person,,,positive,past tense,perfect aspect,,first hand,potential,passive voice,,,
bio_1762,4,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1762,1,v2.11,Mahmut,proper noun,genitive,singular number,third person,,,,,,,,,,,,
bio_1762,2,v2.11,düzen,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
bio_1762,3-4,v2.11,,,,,,,,,,,,,,,,,
bio_1762,3,v2.11,boz,verb,,,,,,positive,,habitual aspect,participle,,,,,,
bio_1762,4,v2.11,y,auxiliary verb,,singular number,third person,,,positive,past tense,,,first hand,,,,,
bio_1762,5,v2.11,.,punctuation,,,,,,,,,,,,,,,
news_1406,1,v2.8,döner,verb,nominative,singular number,third person,,,,,,converb,,imperative,,,,
news_1406,2,v2.8,de,coordinating conjunction,,,,,,,,,,,,,,,
news_1406,3,v2.8,sor,verb,,plural number,second person,,,positive,present tense,progressive aspect,,,,,,,
news_1406,4,v2.8,...,punctuation,,,,,,,,,,,,,,,
news_1406,1-2,v2.11,,,,,,,,,,,,,,,,,
news_1406,1,v2.11,dön,verb,,,,,,positive,present tense,habitual aspect,participle,,,,,,
news_1406,2,v2.11,y,auxiliary verb,,,,,,positive,,,converb,,,,,,
news_1406,3,v2.11,de,particle,,,,,,,,,,,,,,,
news_1406,4,v2.11,sor,verb,,plural number,second person,,,positive,present tense,imperfect aspect,,,,,,,
news_1406,5,v2.11,...,punctuation,,,,,,,,,,,,,,,
bio_1380,1,v2.8,her,determiner,,,,,,,,,,,,,,,
bio_1380,2,v2.8,taraf,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1380,3,v2.8,Güneş,numeral,nominative,singular number,third person,,,,,,,,,,,,
bio_1380,4,v2.8,alt,numeral,locative,singular number,third person,singular number,third person,,,,,,,,,,
bio_1380,5,v2.8,pırıl,other,,,,,,,,,,,,,,,reduplicative
bio_1380,6,v2.8,pırıl,verb,,singular number,third person,,,positive,past tense,perfect aspect,,,indicative,passive voice,,,
bio_1380,7,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1380,1,v2.11,her,determiner,,,,,,,,,,,,,,,
bio_1380,2,v2.11,taraf,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1380,3,v2.11,güneş,numeral,nominative,singular number,third person,,,,,,,,,,,,
bio_1380,4,v2.11,alt,numeral,locative,singular number,third person,singular number,third person,,,,,,,,,,
bio_1380,5,v2.11,pırıl,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1380,6-7,v2.11,,,,,,,,,,,,,,,,,
bio_1380,6,v2.11,pırıl,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1380,7,v2.11,y,auxiliary verb,,singular number,third person,,,,past tense,perfect aspect,,first hand,,,,,
bio_1380,8,v2.11,.,punctuation,,,,,,,,,,,,,,,
pop_1761,1,v2.8,kaş,proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,2,v2.8,:,punctuation,,,,,,,,,,,,,,,
pop_1761,3,v2.8,göz,noun,genitive,singular number,third person,,,,,,,,,,,,
pop_1761,4,v2.8,hemen,adverb,,,,,,,,,,,,,,,
pop_1761,5,v2.8,üst,adjective,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_1761,6,v2.8,bir,determiner,,,,,,,,,,,,,,,
pop_1761,7,v2.8,çizgi,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,8,v2.8,hâl,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_1761,9,v2.8,bulun,verb,,,,,,positive,present tense,,participle,,,,,,
pop_1761,10,v2.8,kaş,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,11,v2.8,",",punctuation,,,,,,,,,,,,,,,
pop_1761,12,v2.8,bazen,adverb,,,,,,,,,,,,,,,
pop_1761,13,v2.8,de,coordinating conjunction,,,,,,,,,,,,,,,
pop_1761,14,v2.8,şekil,adjective,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,15,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_1761,16,v2.8,iri,adjective,,,,,,,,,,,,,,,
pop_1761,17,v2.8,bir,determiner,,,,,,,,,,,,,,,
pop_1761,18,v2.8,küme,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,19,v2.8,ol,adposition,,,,,,,,,,,,,,,
pop_1761,20,v2.8,sırt,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,21,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_1761,22,v2.8,kulunç,noun,locative,plural number,third person,,,,,,,,,,,,
pop_1761,23,v2.8,yeşer,verb,,singular number,third person,,,positive,present tense,habitual aspect,,,,,,,
pop_1761,24,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_1761,1,v2.11,kaş,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,2,v2.11,:,punctuation,,,,,,,,,,,,,,,
pop_1761,3,v2.11,göz,noun,genitive,singular number,third person,,,,,,,,,,,,
pop_1761,4,v2.11,hemen,adverb,,,,,,,,,,,,,,,
pop_1761,5,v2.11,üst,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_1761,6,v2.11,bir,determiner,,,,,,,,,,,,,,,
pop_1761,7,v2.11,çizgi,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,8,v2.11,hâl,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_1761,9,v2.11,bulun,verb,,,,,,positive,present tense,,participle,,,,,,
pop_1761,10,v2.11,kaş,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,11,v2.11,",",punctuation,,,,,,,,,,,,,,,
pop_1761,12,v2.11,bazen,adverb,,,,,,,,,,,,,,,
pop_1761,13,v2.11,de,particle,,,,,,,,,,,,,,,
pop_1761,14,v2.11,şekil,adjective,,,,,,,,,,,,,,,
pop_1761,15,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_1761,16,v2.11,iri,adjective,,,,,,,,,,,,,,,
pop_1761,17,v2.11,bir,determiner,,,,,,,,,,,,,,,
pop_1761,18,v2.11,küme,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,19,v2.11,ol,auxiliary verb,,,,,,positive,,,converb,,,,,,
pop_1761,20,v2.11,sırt,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1761,21,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_1761,22,v2.11,kulunç,noun,locative,plural number,third person,,,,,,,,,,,,
pop_1761,23,v2.11,yeşer,verb,,singular number,third person,,,positive,present tense,habitual aspect,,,,,,,
pop_1761,24,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_329,1,v2.8,birkaç,determiner,,,,,,,,,,,,,,,
ess_329,2-3,v2.8,,,,,,,,,,,,,,,,,
ess_329,2,v2.8,yıl,adverb,,,,,,,,,,,,,,,
ess_329,3,v2.8,i,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,generalized modality,,,,
ess_329,4,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_329,5,v2.8,Kürt,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,6,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_329,7,v2.8,Kıbrıs,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,8,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_329,9,v2.8,Ermeni,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,10,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
ess_329,11,v2.8,diğer,adjective,,,,,,,,,,,,,,,
ess_329,12,v2.8,azınlık,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,13,v2.8,sorun,noun,genitive,plural number,third person,singular number,third person,,,,,,,,,,
ess_329,14,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_329,15,v2.8,AB,noun,dative,singular number,third person,,,,,,,,,,,,
ess_329,16,v2.8,gir,noun,genitive,singular number,third person,,,positive,,,,,,,,,
ess_329,17,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_329,18,v2.8,İslam,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,19,v2.8,köken,adjective,nominative,singular number,third person,,,,,,,,,,,,
ess_329,20,v2.8,bir,determiner,,,,,,,,,,,,,,,
ess_329,21,v2.8,parti,noun,genitive,singular number,third person,,,,,,,,,,,,
ess_329,22,v2.8,iktidar,noun,dative,singular number,third person,,,,,,,,,,,,
ess_329,23,v2.8,gel,noun,genitive,singular number,third person,singular number,third person,positive,,,,,,,,,
ess_329,24,v2.8,etki,adverb,,,,,,,,,,,,,,,
ess_329,25,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
ess_329,26,v2.8,bu,pronoun,dative,plural number,third person,,,,,,,,,,,,
ess_329,27,v2.8,tepki,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,28,v2.8,ol,adposition,,,,,,,,,,,,,,,
ess_329,29,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_329,30,v2.8,milliyetçilik,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,31,v2.8,yüksel,verb,dative,singular number,third person,,,positive,,,,,,,,,
ess_329,32,v2.8,başla,verb,,singular number,third person,,,positive,past tense,perfect aspect,,first hand,,,,,
ess_329,33,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_329,1,v2.11,birkaç,determiner,,,,,,,,,,,,,,,
ess_329,2-3,v2.11,,,,,,,,,,,,,,,,,
ess_329,2,v2.11,yıl,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,3,v2.11,y,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,generalized modality,,,,
ess_329,4,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_329,5,v2.11,Kürt,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,6,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_329,7,v2.11,Kıbrıs,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,8,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_329,9,v2.11,Ermeni,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,10,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
ess_329,11,v2.11,diğer,adjective,,,,,,,,,,,,,,,
ess_329,12,v2.11,azınlık,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,13,v2.11,sorun,noun,genitive,plural number,third person,singular number,third person,,,,,,,,,,
ess_329,14,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_329,15,v2.11,AB,proper noun,dative,singular number,third person,,,,,,,,,,,,
ess_329,16,v2.11,gir,noun,genitive,singular number,third person,,,positive,,,,,,,,,
ess_329,17,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_329,18,v2.11,İslamcı,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,19,v2.11,kökenli,adjective,,,,,,,,,,,,,,,
ess_329,20,v2.11,bir,determiner,,,,,,,,,,,,,,,
ess_329,21,v2.11,parti,noun,genitive,singular number,third person,,,,,,,,,,,,
ess_329,22,v2.11,iktidar,noun,dative,singular number,third person,,,,,,,,,,,,
ess_329,23,v2.11,gel,verb,genitive,singular number,third person,singular number,third person,positive,,,verbal noun,,,,,,
ess_329,24,v2.11,etki,noun,instrumental,singular number,third person,singular number,third person,,,,,,,,,,
ess_329,25,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
ess_329,26,v2.11,bu,pronoun,dative,plural number,third person,,,,,,,,,,,,
ess_329,27,v2.11,tepki,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,28,v2.11,ol,auxiliary verb,,,,,,positive,,,converb,,imperative,,,,
ess_329,29,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_329,30,v2.11,milliyetçilik,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_329,31,v2.11,yüksel,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
ess_329,32,v2.11,başla,verb,,singular number,third person,,,positive,past tense,perfect aspect,,first hand,,,,,
ess_329,33,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_390,1,v2.8,yarın,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_390,2,v2.8,iş,noun,nominative,singular number,third person,singular number,first person,,,,,,,,,,
bio_390,3,v2.8,çok,adverb,,,,,,,,,,,,,,,
bio_390,4,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_390,1,v2.11,yarın,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_390,2,v2.11,iş,noun,nominative,singular number,third person,singular number,first person,,,,,,,,,,
bio_390,3,v2.11,çok,adverb,,,,,,,,,,,,,,,
bio_390,4,v2.11,.,punctuation,,,,,,,,,,,,,,,
pop_62,1,v2.8,"""İstanbul",proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_62,2,v2.8,aslında,adverb,,,,,,,,,,,,,,,
pop_62,3,v2.8,deprem,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_62,4,v2.8,kuşak,noun,genitive,singular number,third person,singular number,third person,,,,,,,,,,
pop_62,5,v2.8,tam,adverb,,,,,,,,,,,,,,,
pop_62,6-7,v2.8,,,,,,,,,,,,,,,,,
pop_62,6,v2.8,göbek,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_62,7,v2.8,i,auxiliary verb,,singular number,third person,,,,past tense,perfect aspect,,non-first hand,indicative,,,,
pop_62,8,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_62,1,v2.11,"""",punctuation,,,,,,,,,,,,,,,
pop_62,2,v2.11,İstanbul,proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_62,3,v2.11,aslında,adverb,,,,,,,,,,,,,,,
pop_62,4,v2.11,deprem,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_62,5,v2.11,kuşak,noun,genitive,singular number,third person,singular number,third person,,,,,,,,,,
pop_62,6,v2.11,tam,adverb,,,,,,,,,,,,,,,
pop_62,7-8,v2.11,,,,,,,,,,,,,,,,,
pop_62,7,v2.11,göbek,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_62,8,v2.11,y,auxiliary verb,,singular number,third person,,,,past tense,perfect aspect,,non-first hand,indicative,,,,
pop_62,9,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_624,1,v2.8,ben,pronoun,nominative,singular number,first person,,,,,,,,,,,,
ess_624,2,v2.8,yani,coordinating conjunction,,,,,,,,,,,,,,,
ess_624,3,v2.8,nerdeyse,adverb,,,,,,,,,,,,,,,
ess_624,4,v2.8,bir,determiner,,,,,,,,,,,,,,,
ess_624,5,v2.8,Christian,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_624,6,v2.8,Scientist,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_624,7,v2.8,üye,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ess_624,8,v2.8,kadar,adposition,,,,,,,,,,,,,,,
ess_624,9,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_624,10,v2.8,düşkün,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_624,11,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_624,12,v2.8,addet,verb,,singular number,first person,,,positive,present tense,habitual aspect,,,potential,passive voice,,,
ess_624,13,v2.8,doktor,noun,dative,plural number,third person,,,,,,,,,,,,
ess_624,14,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_624,1,v2.11,ben,pronoun,nominative,singular number,first person,,,,,,,,,,,personal,
ess_624,2,v2.11,yani,coordinating conjunction,,,,,,,,,,,,,,,
ess_624,3,v2.11,nerdeyse,adverb,,,,,,,,,,,,,,,
ess_624,4,v2.11,bir,determiner,,,,,,,,,,,,,,,
ess_624,5,v2.11,Christian,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_624,6,v2.11,Scientist,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_624,7,v2.11,üye,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ess_624,8,v2.11,kadar,adposition,,,,,,,,,,,,,,,
ess_624,9,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_624,10,v2.11,düşkün,noun,accusative,singular number,third person,,,,,,,,,,,,
ess_624,11,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_624,12,v2.11,addet,verb,,singular number,first person,,,positive,present tense,habitual aspect,,,potential,passive voice,,,
ess_624,13,v2.11,doktor,noun,dative,plural number,third person,,,,,,,,,,,,
ess_624,14,v2.11,.,punctuation,,,,,,,,,,,,,,,
